% Model:              Test1_updated.mph
% Version:            COMSOL 6.2.0.415
% Date:               Aug 4 2024, 11:00
% Dimension:          1
% Nodes:              1022
% Expressions:        1
% Description:        Function
% t                       int1(t)
0                         0
1.2266962154789852E-9     1.3482618104329526E-4
2.8622911694509656E-9     3.1459442243435563E-4
4.497886123422946E-9      4.94362663825416E-4
6.133481077395138E-9      6.741309052164995E-4
7.769076031367118E-9      8.538991466075599E-4
9.40467098533931E-9       0.0010336673879986437
1.0E-8                    0.0010991
1.104026593931129E-8      0.0014281049086259817
1.2675860893283271E-8     0.0019453945247186997
1.4311455847255463E-8     0.0024626841408114854
1.5947050801227443E-8     0.0029799737569042033
1.7582645755199424E-8     0.003497263372996921
1.9218240709171616E-8     0.004014552989089707
2.0E-8                    0.0042618
2.0853835663143596E-8     0.0046742623937947765
2.2489430617115577E-8     0.005464369248210021
2.412502557108777E-8      0.006254476102625368
2.576062052505975E-8      0.007044582957040612
2.739621547903173E-8      0.007834689811455858
2.903181043300392E-8      0.008624796665871206
3.0E-8                    0.0090925
3.06674053869759E-8       0.009483766408114623
3.230300034094767E-8      0.010442633949880573
3.393859529491986E-8      0.01140150149164677
3.557419024889184E-8      0.012360369033412845
3.720978520286382E-8      0.013319236575178917
3.8845380156836015E-8     0.014278104116945113
4.0E-8                    0.014955
4.0480975110807995E-8     0.01524623042959424
4.2116570064779976E-8     0.016236583174224276
4.375216501875217E-8      0.017226935918854436
4.538775997272415E-8      0.01821728866348447
4.702335492669613E-8      0.01920764140811451
4.865894988066832E-8      0.02019799415274467
5.0E-8                    0.02101
5.193013978861228E-8      0.022022937361063727
5.3565734742584473E-8     0.022881297592908335
5.5201329696556454E-8     0.02373965782475283
5.6836924650528434E-8     0.024598018056597323
5.8472519604500626E-8     0.025456378288441932
6.0E-8                    0.026258
6.174370951244459E-8      0.026840747719058984
6.337930446641678E-8      0.02738736355267649
6.501489942038876E-8      0.027933979386293925
6.665049437436074E-8      0.028480595219911357
6.828608932833272E-8      0.029027211053528797
6.99216842823047E-8       0.029573826887146232
7.155727923627689E-8      0.029646718377088307
7.319287419024887E-8      0.02969578622570747
7.482846914422085E-8      0.029744854074326626
7.646406409819305E-8      0.029793921922945794
7.809965905216503E-8      0.02984298977156495
7.9735254006137E-8        0.029892057620184112
8.0E-8                    0.0299
8.13708489601092E-8       0.02937236023525397
8.300644391408118E-8      0.028742819737470157
8.464203886805316E-8      0.028113279239686338
8.627763382202535E-8      0.027483738741902443
8.791322877599733E-8      0.02685419824411863
8.954882372996931E-8      0.026224657746334812
9.11844186839415E-8       0.024984904742584253
9.282001363791348E-8      0.023512705724514072
9.445560859188546E-8      0.02204050670644389
9.609120354585766E-8      0.020568307688373522
9.772679849982964E-8      0.01909610867030334
9.93623934538014E-8       0.01762390965223335
1.009979884077736E-7      0.015554354692806017
1.0263358336174558E-7     0.013103153959086369
1.0426917831571756E-7     0.010651953225366724
1.0590477326968975E-7     0.008200752491646762
1.0754036822366173E-7     0.0057495517579271155
1.0917596317763371E-7     0.003298351024207471
1.108115581316059E-7      3.125120245481704E-4
1.1244715308557788E-7     -0.003216185952949144
1.1408274803954986E-7     -0.00674488393044646
1.1571834299352206E-7     -0.01027358190794423
1.1735393794749404E-7     -0.013802279885441547
1.1898953290146602E-7     -0.017330977862938864
1.206251278554382E-7      -0.02129098905557478
1.222607228094102E-7      -0.025948182127514596
1.2389631776338217E-7     -0.03060537519945441
1.2553191271735436E-7     -0.03526256827139482
1.2716750767132634E-7     -0.03991976134333464
1.2880310262529853E-7     -0.044576954415275045
1.3043869757927051E-7     -0.04953597142175298
1.3207429253324228E-7     -0.05531845382202476
1.3370988748721447E-7     -0.061100936222298036
1.3534548244118645E-7     -0.06688341862257056
1.3698107739515843E-7     -0.07266590102284311
1.3861667234913063E-7     -0.07844838342311639
1.4E-7                    -0.083339
1.418878622570746E-7      -0.09123989233208282
1.4352345721104678E-7     -0.09808502077395186
1.4515905216501876E-7     -0.10493014921582
1.4679464711899074E-7     -0.11177527765768816
1.4843024207296293E-7     -0.11862040609955718
1.5E-7                    -0.12519
1.517014319809069E-7      -0.13328371193317412
1.5333702693487909E-7     -0.1410642371292198
1.5497262188885107E-7     -0.1488447623252645
1.5660821684282305E-7     -0.15662528752130922
1.5824381179679524E-7     -0.16440581271735494
1.5987940675076722E-7     -0.17218633791339963
